sequence_id	gene_id	gene_start	gene_end	exon_start	exon_end	strand	k	start_rank	boundary_score	transition_score	codon_penalty
rna-XM_020760762.1	gene_1	380	5403	380	745	+	1	1	-1.917763	-0.776730	
rna-XM_020760762.1	gene_1	380	5403	3313	5403	+	1	1	-1.917763	-0.776730	
rna-XM_020760762.1	gene_2	380	5403	380	5087	+	2	2	-1.917763	-3.629217	
rna-XM_020760762.1	gene_2	380	5403	5354	5403	+	2	2	-1.917763	-3.629217	
rna-XM_020760762.1	gene_3	380	5403	380	745	+	3	3	-1.917763	-10.309397	
rna-XM_020760762.1	gene_3	380	5403	4792	5403	+	3	3	-1.917763	-10.309397	
rna-XM_020766938.1	gene_1	27326	42283	27326	41807	+	1	1	-1.227863	-1.280982	
rna-XM_020766938.1	gene_1	27326	42283	42123	42283	+	1	1	-1.227863	-1.280982	
rna-XM_020766938.1	gene_2	27326	42283	27326	42283	+	2	2	-1.227863	-1.395124	
rna-XM_020766938.1	gene_3	27326	42283	27326	38789	+	3	3	-1.227863	-2.389288	
rna-XM_020766938.1	gene_3	27326	42283	41808	41807	+	3	3	-1.227863	-2.389288	
rna-XM_020766938.1	gene_3	27326	42283	42123	42283	+	3	3	-1.227863	-2.389288	
rna-XM_020749871.1	gene_1	501	2550	501	1515	+	1	1	-0.709551	-1.196030	
rna-XM_020749871.1	gene_1	501	2550	2381	2550	+	1	1	-0.709551	-1.196030	
rna-XM_020753532.1	gene_1	8699	92407	8699	20657	+	1	1	-0.455327	-5.292856	
rna-XM_020753532.1	gene_1	8699	92407	20819	55594	+	1	1	-0.455327	-5.292856	
rna-XM_020753532.1	gene_1	8699	92407	58291	75002	+	1	1	-0.455327	-5.292856	
rna-XM_020753532.1	gene_1	8699	92407	75070	85274	+	1	1	-0.455327	-5.292856	
rna-XM_020753532.1	gene_1	8699	92407	86801	90774	+	1	1	-0.455327	-5.292856	
rna-XM_020753532.1	gene_1	8699	92407	90894	92407	+	1	1	-0.455327	-5.292856	
