sequence_id	gene_id	gene_start	gene_end	exon_start	exon_end	strand
rna-XM_020774584.1	rna-XM_020774584.1	501	7770	501	614	+
rna-XM_020774584.1	rna-XM_020774584.1	501	7770	1231	1431	+
rna-XM_020774584.1	rna-XM_020774584.1	501	7770	4970	5258	+
rna-XM_020774584.1	rna-XM_020774584.1	501	7770	6479	7770	+
rna-XM_020774613.1	rna-XM_020774613.1	501	7770	501	614	+
rna-XM_020774613.1	rna-XM_020774613.1	501	7770	1231	1431	+
rna-XM_020774613.1	rna-XM_020774613.1	501	7770	4970	5258	+
rna-XM_020774613.1	rna-XM_020774613.1	501	7770	6479	7770	+
rna-XM_020774605.1	rna-XM_020774605.1	501	7770	501	614	+
rna-XM_020774605.1	rna-XM_020774605.1	501	7770	1231	1431	+
rna-XM_020774605.1	rna-XM_020774605.1	501	7770	4970	5258	+
rna-XM_020774605.1	rna-XM_020774605.1	501	7770	6479	7770	+
rna-XM_020774591.1	rna-XM_020774591.1	501	7770	501	614	+
rna-XM_020774591.1	rna-XM_020774591.1	501	7770	1231	1431	+
rna-XM_020774591.1	rna-XM_020774591.1	501	7770	4970	5258	+
rna-XM_020774591.1	rna-XM_020774591.1	501	7770	6479	7770	+
rna-XM_020774599.1	rna-XM_020774599.1	501	7770	501	614	+
rna-XM_020774599.1	rna-XM_020774599.1	501	7770	1231	1431	+
rna-XM_020774599.1	rna-XM_020774599.1	501	7770	4970	5258	+
rna-XM_020774599.1	rna-XM_020774599.1	501	7770	6479	7770	+
rna-XM_020774696.1	rna-XM_020774696.1	501	3481	501	614	+
rna-XM_020774696.1	rna-XM_020774696.1	501	3481	1036	1236	+
rna-XM_020774696.1	rna-XM_020774696.1	501	3481	1581	1869	+
rna-XM_020774696.1	rna-XM_020774696.1	501	3481	2190	3481	+
rna-XM_020774637.1	rna-XM_020774637.1	501	3717	501	560	+
rna-XM_020774637.1	rna-XM_020774637.1	501	3717	1529	1582	+
rna-XM_020774637.1	rna-XM_020774637.1	501	3717	2240	2309	+
rna-XM_020774637.1	rna-XM_020774637.1	501	3717	2995	3208	+
rna-XM_020774637.1	rna-XM_020774637.1	501	3717	3612	3717	+
rna-XM_020774621.1	rna-XM_020774621.1	501	30623	501	623	+
rna-XM_020774621.1	rna-XM_020774621.1	501	30623	9308	9572	+
rna-XM_020774621.1	rna-XM_020774621.1	501	30623	19312	19434	+
rna-XM_020774621.1	rna-XM_020774621.1	501	30623	20559	20778	+
rna-XM_020774621.1	rna-XM_020774621.1	501	30623	21108	21312	+
rna-XM_020774621.1	rna-XM_020774621.1	501	30623	21639	21927	+
rna-XM_020774621.1	rna-XM_020774621.1	501	30623	24644	24676	+
rna-XM_020774621.1	rna-XM_020774621.1	501	30623	25346	25389	+
rna-XM_020774621.1	rna-XM_020774621.1	501	30623	26349	26443	+
rna-XM_020774621.1	rna-XM_020774621.1	501	30623	26943	27039	+
rna-XM_020774621.1	rna-XM_020774621.1	501	30623	27352	27446	+
rna-XM_020774621.1	rna-XM_020774621.1	501	30623	27750	27948	+
rna-XM_020774621.1	rna-XM_020774621.1	501	30623	28427	28535	+
rna-XM_020774621.1	rna-XM_020774621.1	501	30623	29158	29270	+
rna-XM_020774621.1	rna-XM_020774621.1	501	30623	29858	30070	+
rna-XM_020774621.1	rna-XM_020774621.1	501	30623	30465	30623	+
rna-XM_020774628.1	rna-XM_020774628.1	501	30623	501	623	+
rna-XM_020774628.1	rna-XM_020774628.1	501	30623	9308	9572	+
rna-XM_020774628.1	rna-XM_020774628.1	501	30623	19312	19434	+
rna-XM_020774628.1	rna-XM_020774628.1	501	30623	20559	20778	+
rna-XM_020774628.1	rna-XM_020774628.1	501	30623	21111	21312	+
rna-XM_020774628.1	rna-XM_020774628.1	501	30623	21639	21927	+
rna-XM_020774628.1	rna-XM_020774628.1	501	30623	24644	24676	+
rna-XM_020774628.1	rna-XM_020774628.1	501	30623	25346	25389	+
rna-XM_020774628.1	rna-XM_020774628.1	501	30623	26349	26443	+
rna-XM_020774628.1	rna-XM_020774628.1	501	30623	26943	27039	+
rna-XM_020774628.1	rna-XM_020774628.1	501	30623	27352	27446	+
rna-XM_020774628.1	rna-XM_020774628.1	501	30623	27750	27948	+
