sequence_id	gene_id	gene_start	gene_end	exon_start	exon_end	strand
rna-XM_029342736.2	rna-XM_029342736.2	2001	33031	2001	2082	+
rna-XM_029342736.2	rna-XM_029342736.2	2001	33031	8577	8861	+
rna-XM_029342736.2	rna-XM_029342736.2	2001	33031	11189	11485	+
rna-XM_029342736.2	rna-XM_029342736.2	2001	33031	13071	13331	+
rna-XM_029342736.2	rna-XM_029342736.2	2001	33031	13490	13777	+
rna-XM_029342736.2	rna-XM_029342736.2	2001	33031	14077	14370	+
rna-XM_029342736.2	rna-XM_029342736.2	2001	33031	14666	14953	+
rna-XM_029342736.2	rna-XM_029342736.2	2001	33031	15615	15765	+
rna-XM_029342736.2	rna-XM_029342736.2	2001	33031	15924	16033	+
rna-XM_029342736.2	rna-XM_029342736.2	2001	33031	16036	16068	+
rna-XM_029342736.2	rna-XM_029342736.2	2001	33031	18772	18974	+
rna-XM_029342736.2	rna-XM_029342736.2	2001	33031	19529	19850	+
rna-XM_029342736.2	rna-XM_029342736.2	2001	33031	20138	20533	+
rna-XM_029342736.2	rna-XM_029342736.2	2001	33031	21220	21513	+
rna-XM_029342736.2	rna-XM_029342736.2	2001	33031	21663	21766	+
rna-XM_029342736.2	rna-XM_029342736.2	2001	33031	22575	22894	+
rna-XM_029342736.2	rna-XM_029342736.2	2001	33031	23175	23457	+
rna-XM_029342736.2	rna-XM_029342736.2	2001	33031	23802	23847	+
rna-XM_029342736.2	rna-XM_029342736.2	2001	33031	24025	24178	+
rna-XM_029342736.2	rna-XM_029342736.2	2001	33031	24435	24633	+
rna-XM_029342736.2	rna-XM_029342736.2	2001	33031	25677	25764	+
rna-XM_029342736.2	rna-XM_029342736.2	2001	33031	26166	26242	+
rna-XM_029342736.2	rna-XM_029342736.2	2001	33031	26528	26564	+
rna-XM_029342736.2	rna-XM_029342736.2	2001	33031	26940	27037	+
rna-XM_029342736.2	rna-XM_029342736.2	2001	33031	27301	27420	+
rna-XM_029342736.2	rna-XM_029342736.2	2001	33031	27755	27906	+
rna-XM_029342736.2	rna-XM_029342736.2	2001	33031	28481	28616	+
rna-XM_029342736.2	rna-XM_029342736.2	2001	33031	28972	29215	+
rna-XM_029342736.2	rna-XM_029342736.2	2001	33031	29597	29673	+
rna-XM_029342736.2	rna-XM_029342736.2	2001	33031	29999	30019	+
rna-XM_029342736.2	rna-XM_029342736.2	2001	33031	30021	30134	+
rna-XM_029342736.2	rna-XM_029342736.2	2001	33031	30242	30367	+
rna-XM_029342736.2	rna-XM_029342736.2	2001	33031	31740	31894	+
rna-XM_029342736.2	rna-XM_029342736.2	2001	33031	32458	32593	+
rna-XM_029342736.2	rna-XM_029342736.2	2001	33031	32963	33031	+
rna-XM_044317766.1	rna-XM_044317766.1	2001	53581	2001	2079	+
rna-XM_044317766.1	rna-XM_044317766.1	2001	53581	10149	10471	+
rna-XM_044317766.1	rna-XM_044317766.1	2001	53581	13496	13649	+
