sequence_id	gene_id	gene_start	gene_end	exon_start	exon_end	strand
rna-gnl|WGS:LSRX|Smic6708_mrna	rna-gnl|WGS:LSRX|Smic6708_mrna	2001	20821	2001	2110	+
rna-gnl|WGS:LSRX|Smic6708_mrna	rna-gnl|WGS:LSRX|Smic6708_mrna	2001	20821	2519	2563	+
rna-gnl|WGS:LSRX|Smic6708_mrna	rna-gnl|WGS:LSRX|Smic6708_mrna	2001	20821	2844	2864	+
rna-gnl|WGS:LSRX|Smic6708_mrna	rna-gnl|WGS:LSRX|Smic6708_mrna	2001	20821	3109	3256	+
rna-gnl|WGS:LSRX|Smic6708_mrna	rna-gnl|WGS:LSRX|Smic6708_mrna	2001	20821	3333	3387	+
rna-gnl|WGS:LSRX|Smic6708_mrna	rna-gnl|WGS:LSRX|Smic6708_mrna	2001	20821	3545	3592	+
rna-gnl|WGS:LSRX|Smic6708_mrna	rna-gnl|WGS:LSRX|Smic6708_mrna	2001	20821	3934	3982	+
rna-gnl|WGS:LSRX|Smic6708_mrna	rna-gnl|WGS:LSRX|Smic6708_mrna	2001	20821	4133	4160	+
rna-gnl|WGS:LSRX|Smic6708_mrna	rna-gnl|WGS:LSRX|Smic6708_mrna	2001	20821	4337	4384	+
rna-gnl|WGS:LSRX|Smic6708_mrna	rna-gnl|WGS:LSRX|Smic6708_mrna	2001	20821	4747	4784	+
rna-gnl|WGS:LSRX|Smic6708_mrna	rna-gnl|WGS:LSRX|Smic6708_mrna	2001	20821	5393	5432	+
rna-gnl|WGS:LSRX|Smic6708_mrna	rna-gnl|WGS:LSRX|Smic6708_mrna	2001	20821	6309	6333	+
rna-gnl|WGS:LSRX|Smic6708_mrna	rna-gnl|WGS:LSRX|Smic6708_mrna	2001	20821	6800	6822	+
rna-gnl|WGS:LSRX|Smic6708_mrna	rna-gnl|WGS:LSRX|Smic6708_mrna	2001	20821	7407	7452	+
rna-gnl|WGS:LSRX|Smic6708_mrna	rna-gnl|WGS:LSRX|Smic6708_mrna	2001	20821	9526	9539	+
rna-gnl|WGS:LSRX|Smic6708_mrna	rna-gnl|WGS:LSRX|Smic6708_mrna	2001	20821	9707	9742	+
rna-gnl|WGS:LSRX|Smic6708_mrna	rna-gnl|WGS:LSRX|Smic6708_mrna	2001	20821	10025	10072	+
rna-gnl|WGS:LSRX|Smic6708_mrna	rna-gnl|WGS:LSRX|Smic6708_mrna	2001	20821	10554	10598	+
rna-gnl|WGS:LSRX|Smic6708_mrna	rna-gnl|WGS:LSRX|Smic6708_mrna	2001	20821	11001	11050	+
rna-gnl|WGS:LSRX|Smic6708_mrna	rna-gnl|WGS:LSRX|Smic6708_mrna	2001	20821	11396	11414	+
rna-gnl|WGS:LSRX|Smic6708_mrna	rna-gnl|WGS:LSRX|Smic6708_mrna	2001	20821	12109	12148	+
rna-gnl|WGS:LSRX|Smic6708_mrna	rna-gnl|WGS:LSRX|Smic6708_mrna	2001	20821	12699	12733	+
rna-gnl|WGS:LSRX|Smic6708_mrna	rna-gnl|WGS:LSRX|Smic6708_mrna	2001	20821	12858	12924	+
rna-gnl|WGS:LSRX|Smic6708_mrna	rna-gnl|WGS:LSRX|Smic6708_mrna	2001	20821	16444	16509	+
rna-gnl|WGS:LSRX|Smic6708_mrna	rna-gnl|WGS:LSRX|Smic6708_mrna	2001	20821	16692	16758	+
rna-gnl|WGS:LSRX|Smic6708_mrna	rna-gnl|WGS:LSRX|Smic6708_mrna	2001	20821	17335	17419	+
rna-gnl|WGS:LSRX|Smic6708_mrna	rna-gnl|WGS:LSRX|Smic6708_mrna	2001	20821	17522	17545	+
rna-gnl|WGS:LSRX|Smic6708_mrna	rna-gnl|WGS:LSRX|Smic6708_mrna	2001	20821	18237	18296	+
rna-gnl|WGS:LSRX|Smic6708_mrna	rna-gnl|WGS:LSRX|Smic6708_mrna	2001	20821	18494	18526	+
rna-gnl|WGS:LSRX|Smic6708_mrna	rna-gnl|WGS:LSRX|Smic6708_mrna	2001	20821	18729	18737	+
rna-gnl|WGS:LSRX|Smic6708_mrna	rna-gnl|WGS:LSRX|Smic6708_mrna	2001	20821	19525	19554	+
rna-gnl|WGS:LSRX|Smic6708_mrna	rna-gnl|WGS:LSRX|Smic6708_mrna	2001	20821	19629	19668	+
rna-gnl|WGS:LSRX|Smic6708_mrna	rna-gnl|WGS:LSRX|Smic6708_mrna	2001	20821	20062	20128	+
rna-gnl|WGS:LSRX|Smic6708_mrna	rna-gnl|WGS:LSRX|Smic6708_mrna	2001	20821	20767	20821	+
rna-gnl|WGS:LSRX|Smic6714_mrna	rna-gnl|WGS:LSRX|Smic6714_mrna	2001	4582	2001	2031	+
rna-gnl|WGS:LSRX|Smic6714_mrna	rna-gnl|WGS:LSRX|Smic6714_mrna	2001	4582	2092	2156	+
rna-gnl|WGS:LSRX|Smic6714_mrna	rna-gnl|WGS:LSRX|Smic6714_mrna	2001	4582	2213	2266	+
rna-gnl|WGS:LSRX|Smic6714_mrna	rna-gnl|WGS:LSRX|Smic6714_mrna	2001	4582	2346	2411	+
rna-gnl|WGS:LSRX|Smic6714_mrna	rna-gnl|WGS:LSRX|Smic6714_mrna	2001	4582	2491	2550	+
rna-gnl|WGS:LSRX|Smic6714_mrna	rna-gnl|WGS:LSRX|Smic6714_mrna	2001	4582	2615	2660	+
rna-gnl|WGS:LSRX|Smic6714_mrna	rna-gnl|WGS:LSRX|Smic6714_mrna	2001	4582	2716	2768	+
rna-gnl|WGS:LSRX|Smic6714_mrna	rna-gnl|WGS:LSRX|Smic6714_mrna	2001	4582	2845	2888	+
rna-gnl|WGS:LSRX|Smic6714_mrna	rna-gnl|WGS:LSRX|Smic6714_mrna	2001	4582	2981	3011	+
rna-gnl|WGS:LSRX|Smic6714_mrna	rna-gnl|WGS:LSRX|Smic6714_mrna	2001	4582	3075	3126	+
rna-gnl|WGS:LSRX|Smic6714_mrna	rna-gnl|WGS:LSRX|Smic6714_mrna	2001	4582	3225	3280	+
rna-gnl|WGS:LSRX|Smic6714_mrna	rna-gnl|WGS:LSRX|Smic6714_mrna	2001	4582	3340	3402	+
rna-gnl|WGS:LSRX|Smic6714_mrna	rna-gnl|WGS:LSRX|Smic6714_mrna	2001	4582	3476	3511	+
rna-gnl|WGS:LSRX|Smic6714_mrna	rna-gnl|WGS:LSRX|Smic6714_mrna	2001	4582	3580	3630	+
rna-gnl|WGS:LSRX|Smic6714_mrna	rna-gnl|WGS:LSRX|Smic6714_mrna	2001	4582	4026	4082	+
rna-gnl|WGS:LSRX|Smic6714_mrna	rna-gnl|WGS:LSRX|Smic6714_mrna	2001	4582	4144	4200	+
rna-gnl|WGS:LSRX|Smic6714_mrna	rna-gnl|WGS:LSRX|Smic6714_mrna	2001	4582	4260	4332	+
rna-gnl|WGS:LSRX|Smic6714_mrna	rna-gnl|WGS:LSRX|Smic6714_mrna	2001	4582	4500	4582	+
rna-gnl|WGS:LSRX|Smic6828_mrna	rna-gnl|WGS:LSRX|Smic6828_mrna	2001	20462	2001	2088	+
rna-gnl|WGS:LSRX|Smic6828_mrna	rna-gnl|WGS:LSRX|Smic6828_mrna	2001	20462	2282	2351	+
rna-gnl|WGS:LSRX|Smic6828_mrna	rna-gnl|WGS:LSRX|Smic6828_mrna	2001	20462	2638	2692	+
rna-gnl|WGS:LSRX|Smic6828_mrna	rna-gnl|WGS:LSRX|Smic6828_mrna	2001	20462	2945	2979	+
rna-gnl|WGS:LSRX|Smic6828_mrna	rna-gnl|WGS:LSRX|Smic6828_mrna	2001	20462	3378	3420	+
rna-gnl|WGS:LSRX|Smic6828_mrna	rna-gnl|WGS:LSRX|Smic6828_mrna	2001	20462	3605	3670	+
rna-gnl|WGS:LSRX|Smic6828_mrna	rna-gnl|WGS:LSRX|Smic6828_mrna	2001	20462	3878	3926	+
rna-gnl|WGS:LSRX|Smic6828_mrna	rna-gnl|WGS:LSRX|Smic6828_mrna	2001	20462	4257	4307	+
rna-gnl|WGS:LSRX|Smic6828_mrna	rna-gnl|WGS:LSRX|Smic6828_mrna	2001	20462	4696	4709	+
rna-gnl|WGS:LSRX|Smic6828_mrna	rna-gnl|WGS:LSRX|Smic6828_mrna	2001	20462	4875	4928	+
rna-gnl|WGS:LSRX|Smic6828_mrna	rna-gnl|WGS:LSRX|Smic6828_mrna	2001	20462	5143	5162	+
rna-gnl|WGS:LSRX|Smic6828_mrna	rna-gnl|WGS:LSRX|Smic6828_mrna	2001	20462	5797	5848	+
rna-gnl|WGS:LSRX|Smic6828_mrna	rna-gnl|WGS:LSRX|Smic6828_mrna	2001	20462	6094	6125	+
rna-gnl|WGS:LSRX|Smic6828_mrna	rna-gnl|WGS:LSRX|Smic6828_mrna	2001	20462	6700	6733	+
rna-gnl|WGS:LSRX|Smic6828_mrna	rna-gnl|WGS:LSRX|Smic6828_mrna	2001	20462	6912	6947	+
rna-gnl|WGS:LSRX|Smic6828_mrna	rna-gnl|WGS:LSRX|Smic6828_mrna	2001	20462	7321	7372	+
rna-gnl|WGS:LSRX|Smic6828_mrna	rna-gnl|WGS:LSRX|Smic6828_mrna	2001	20462	7485	7558	+
rna-gnl|WGS:LSRX|Smic6828_mrna	rna-gnl|WGS:LSRX|Smic6828_mrna	2001	20462	7846	7890	+
rna-gnl|WGS:LSRX|Smic6828_mrna	rna-gnl|WGS:LSRX|Smic6828_mrna	2001	20462	8454	8513	+
rna-gnl|WGS:LSRX|Smic6828_mrna	rna-gnl|WGS:LSRX|Smic6828_mrna	2001	20462	9405	9427	+
rna-gnl|WGS:LSRX|Smic6828_mrna	rna-gnl|WGS:LSRX|Smic6828_mrna	2001	20462	10274	10337	+
rna-gnl|WGS:LSRX|Smic6828_mrna	rna-gnl|WGS:LSRX|Smic6828_mrna	2001	20462	10911	10961	+
rna-gnl|WGS:LSRX|Smic6828_mrna	rna-gnl|WGS:LSRX|Smic6828_mrna	2001	20462	11336	11394	+
rna-gnl|WGS:LSRX|Smic6828_mrna	rna-gnl|WGS:LSRX|Smic6828_mrna	2001	20462	12153	12195	+
rna-gnl|WGS:LSRX|Smic6828_mrna	rna-gnl|WGS:LSRX|Smic6828_mrna	2001	20462	12601	12636	+
rna-gnl|WGS:LSRX|Smic6828_mrna	rna-gnl|WGS:LSRX|Smic6828_mrna	2001	20462	13324	13368	+
rna-gnl|WGS:LSRX|Smic6828_mrna	rna-gnl|WGS:LSRX|Smic6828_mrna	2001	20462	13942	13979	+
rna-gnl|WGS:LSRX|Smic6828_mrna	rna-gnl|WGS:LSRX|Smic6828_mrna	2001	20462	14751	14793	+
rna-gnl|WGS:LSRX|Smic6828_mrna	rna-gnl|WGS:LSRX|Smic6828_mrna	2001	20462	15075	15172	+
rna-gnl|WGS:LSRX|Smic6828_mrna	rna-gnl|WGS:LSRX|Smic6828_mrna	2001	20462	15329	15395	+
rna-gnl|WGS:LSRX|Smic6828_mrna	rna-gnl|WGS:LSRX|Smic6828_mrna	2001	20462	16232	16276	+
rna-gnl|WGS:LSRX|Smic6828_mrna	rna-gnl|WGS:LSRX|Smic6828_mrna	2001	20462	16912	16970	+
rna-gnl|WGS:LSRX|Smic6828_mrna	rna-gnl|WGS:LSRX|Smic6828_mrna	2001	20462	17512	17545	+
rna-gnl|WGS:LSRX|Smic6828_mrna	rna-gnl|WGS:LSRX|Smic6828_mrna	2001	20462	17788	17839	+
rna-gnl|WGS:LSRX|Smic6828_mrna	rna-gnl|WGS:LSRX|Smic6828_mrna	2001	20462	18954	18990	+
rna-gnl|WGS:LSRX|Smic6828_mrna	rna-gnl|WGS:LSRX|Smic6828_mrna	2001	20462	19373	19460	+
rna-gnl|WGS:LSRX|Smic6828_mrna	rna-gnl|WGS:LSRX|Smic6828_mrna	2001	20462	20020	20067	+
rna-gnl|WGS:LSRX|Smic6828_mrna	rna-gnl|WGS:LSRX|Smic6828_mrna	2001	20462	20427	20462	+
rna-gnl|WGS:LSRX|Smic6829_mrna	rna-gnl|WGS:LSRX|Smic6829_mrna	2001	7771	2001	2058	+
rna-gnl|WGS:LSRX|Smic6829_mrna	rna-gnl|WGS:LSRX|Smic6829_mrna	2001	7771	3727	3761	+
rna-gnl|WGS:LSRX|Smic6829_mrna	rna-gnl|WGS:LSRX|Smic6829_mrna	2001	7771	4148	4204	+
rna-gnl|WGS:LSRX|Smic6829_mrna	rna-gnl|WGS:LSRX|Smic6829_mrna	2001	7771	4464	4505	+
rna-gnl|WGS:LSRX|Smic6829_mrna	rna-gnl|WGS:LSRX|Smic6829_mrna	2001	7771	5163	5209	+
rna-gnl|WGS:LSRX|Smic6829_mrna	rna-gnl|WGS:LSRX|Smic6829_mrna	2001	7771	5788	5859	+
rna-gnl|WGS:LSRX|Smic6829_mrna	rna-gnl|WGS:LSRX|Smic6829_mrna	2001	7771	6345	6441	+
rna-gnl|WGS:LSRX|Smic6829_mrna	rna-gnl|WGS:LSRX|Smic6829_mrna	2001	7771	6722	6778	+
rna-gnl|WGS:LSRX|Smic6829_mrna	rna-gnl|WGS:LSRX|Smic6829_mrna	2001	7771	7540	7635	+
rna-gnl|WGS:LSRX|Smic6829_mrna	rna-gnl|WGS:LSRX|Smic6829_mrna	2001	7771	7736	7771	+
rna-gnl|WGS:LSRX|Smic6897_mrna	rna-gnl|WGS:LSRX|Smic6897_mrna	2001	28418	2001	2029	+
rna-gnl|WGS:LSRX|Smic6897_mrna	rna-gnl|WGS:LSRX|Smic6897_mrna	2001	28418	2083	2112	+
rna-gnl|WGS:LSRX|Smic6897_mrna	rna-gnl|WGS:LSRX|Smic6897_mrna	2001	28418	2166	2208	+
rna-gnl|WGS:LSRX|Smic6897_mrna	rna-gnl|WGS:LSRX|Smic6897_mrna	2001	28418	2278	2320	+
rna-gnl|WGS:LSRX|Smic6897_mrna	rna-gnl|WGS:LSRX|Smic6897_mrna	2001	28418	2410	2462	+
rna-gnl|WGS:LSRX|Smic6897_mrna	rna-gnl|WGS:LSRX|Smic6897_mrna	2001	28418	2562	2615	+
rna-gnl|WGS:LSRX|Smic6897_mrna	rna-gnl|WGS:LSRX|Smic6897_mrna	2001	28418	2689	2745	+
rna-gnl|WGS:LSRX|Smic6897_mrna	rna-gnl|WGS:LSRX|Smic6897_mrna	2001	28418	2975	3022	+
rna-gnl|WGS:LSRX|Smic6897_mrna	rna-gnl|WGS:LSRX|Smic6897_mrna	2001	28418	5875	5919	+
rna-gnl|WGS:LSRX|Smic6897_mrna	rna-gnl|WGS:LSRX|Smic6897_mrna	2001	28418	5992	6129	+
rna-gnl|WGS:LSRX|Smic6897_mrna	rna-gnl|WGS:LSRX|Smic6897_mrna	2001	28418	6318	6359	+
rna-gnl|WGS:LSRX|Smic6897_mrna	rna-gnl|WGS:LSRX|Smic6897_mrna	2001	28418	6428	6508	+
rna-gnl|WGS:LSRX|Smic6897_mrna	rna-gnl|WGS:LSRX|Smic6897_mrna	2001	28418	6568	6666	+
rna-gnl|WGS:LSRX|Smic6897_mrna	rna-gnl|WGS:LSRX|Smic6897_mrna	2001	28418	6736	6800	+
rna-gnl|WGS:LSRX|Smic6897_mrna	rna-gnl|WGS:LSRX|Smic6897_mrna	2001	28418	6871	6907	+
rna-gnl|WGS:LSRX|Smic6897_mrna	rna-gnl|WGS:LSRX|Smic6897_mrna	2001	28418	7274	7326	+
rna-gnl|WGS:LSRX|Smic6897_mrna	rna-gnl|WGS:LSRX|Smic6897_mrna	2001	28418	7584	7670	+
rna-gnl|WGS:LSRX|Smic6897_mrna	rna-gnl|WGS:LSRX|Smic6897_mrna	2001	28418	7740	7815	+
rna-gnl|WGS:LSRX|Smic6897_mrna	rna-gnl|WGS:LSRX|Smic6897_mrna	2001	28418	7893	7919	+
rna-gnl|WGS:LSRX|Smic6897_mrna	rna-gnl|WGS:LSRX|Smic6897_mrna	2001	28418	8004	8056	+
rna-gnl|WGS:LSRX|Smic6897_mrna	rna-gnl|WGS:LSRX|Smic6897_mrna	2001	28418	8161	8468	+
rna-gnl|WGS:LSRX|Smic6897_mrna	rna-gnl|WGS:LSRX|Smic6897_mrna	2001	28418	9265	9357	+
rna-gnl|WGS:LSRX|Smic6897_mrna	rna-gnl|WGS:LSRX|Smic6897_mrna	2001	28418	12737	12774	+
rna-gnl|WGS:LSRX|Smic6897_mrna	rna-gnl|WGS:LSRX|Smic6897_mrna	2001	28418	14023	14112	+
rna-gnl|WGS:LSRX|Smic6897_mrna	rna-gnl|WGS:LSRX|Smic6897_mrna	2001	28418	15257	15282	+
rna-gnl|WGS:LSRX|Smic6897_mrna	rna-gnl|WGS:LSRX|Smic6897_mrna	2001	28418	15390	15528	+
rna-gnl|WGS:LSRX|Smic6897_mrna	rna-gnl|WGS:LSRX|Smic6897_mrna	2001	28418	15746	15839	+
rna-gnl|WGS:LSRX|Smic6897_mrna	rna-gnl|WGS:LSRX|Smic6897_mrna	2001	28418	16848	17280	+
rna-gnl|WGS:LSRX|Smic6897_mrna	rna-gnl|WGS:LSRX|Smic6897_mrna	2001	28418	17347	17401	+
rna-gnl|WGS:LSRX|Smic6897_mrna	rna-gnl|WGS:LSRX|Smic6897_mrna	2001	28418	17624	17655	+
rna-gnl|WGS:LSRX|Smic6897_mrna	rna-gnl|WGS:LSRX|Smic6897_mrna	2001	28418	17741	18049	+
rna-gnl|WGS:LSRX|Smic6897_mrna	rna-gnl|WGS:LSRX|Smic6897_mrna	2001	28418	18113	18175	+
rna-gnl|WGS:LSRX|Smic6897_mrna	rna-gnl|WGS:LSRX|Smic6897_mrna	2001	28418	18254	18534	+
rna-gnl|WGS:LSRX|Smic6897_mrna	rna-gnl|WGS:LSRX|Smic6897_mrna	2001	28418	18594	18659	+
rna-gnl|WGS:LSRX|Smic6897_mrna	rna-gnl|WGS:LSRX|Smic6897_mrna	2001	28418	18735	18795	+
rna-gnl|WGS:LSRX|Smic6897_mrna	rna-gnl|WGS:LSRX|Smic6897_mrna	2001	28418	19132	19176	+
rna-gnl|WGS:LSRX|Smic6897_mrna	rna-gnl|WGS:LSRX|Smic6897_mrna	2001	28418	19310	19796	+
rna-gnl|WGS:LSRX|Smic6897_mrna	rna-gnl|WGS:LSRX|Smic6897_mrna	2001	28418	19856	19933	+
rna-gnl|WGS:LSRX|Smic6897_mrna	rna-gnl|WGS:LSRX|Smic6897_mrna	2001	28418	20221	20302	+
rna-gnl|WGS:LSRX|Smic6897_mrna	rna-gnl|WGS:LSRX|Smic6897_mrna	2001	28418	20649	20931	+
